p,r,f,k
0.5384615384615384,0.3888888888888889,0.45161290322580644,4
0.4583333333333333,0.3793103448275862,0.4150943396226415,4
0.32142857142857145,0.28125,0.30000000000000004,4
0.48,0.3333333333333333,0.39344262295081966,4
0.5555555555555556,0.375,0.44776119402985076,4
0.52,0.325,0.4,4
0.46875,0.5357142857142857,0.5,4
0.46875,0.5,0.4838709677419355,4
0.5348837209302325,0.6764705882352942,0.5974025974025974,4
0.4827586206896552,0.34146341463414637,0.4000000000000001,4
0.6206896551724138,0.5294117647058824,0.5714285714285715,4
0.525,0.5675675675675675,0.5454545454545455,4
0.5172413793103449,0.45454545454545453,0.4838709677419355,4
0.3333333333333333,0.25806451612903225,0.29090909090909095,4
0.5142857142857142,0.43902439024390244,0.4736842105263158,4
0.43333333333333335,0.3611111111111111,0.39393939393939387,4
0.34782608695652173,0.27586206896551724,0.3076923076923077,4
0.5555555555555556,0.5555555555555556,0.5555555555555556,4
0.4482758620689655,0.3611111111111111,0.39999999999999997,4
0.5185185185185185,0.3783783783783784,0.4375,4
0.46153846153846156,0.41379310344827586,0.43636363636363634,4
0.4444444444444444,0.36363636363636365,0.39999999999999997,4
0.6071428571428571,0.4358974358974359,0.5074626865671643,4
0.5185185185185185,0.4,0.45161290322580644,4
0.6521739130434783,0.35714285714285715,0.4615384615384615,4
0.41379310344827586,0.3870967741935484,0.39999999999999997,4
0.5416666666666666,0.35135135135135137,0.4262295081967213,4
0.5555555555555556,0.36585365853658536,0.4411764705882353,4
0.5862068965517241,0.425,0.4927536231884058,4
0.6521739130434783,0.36585365853658536,0.46874999999999994,4
0.4117647058823529,0.4,0.40579710144927533,4
0.4583333333333333,0.3142857142857143,0.3728813559322034,4
0.45161290322580644,0.3888888888888889,0.417910447761194,4
0.5,0.5384615384615384,0.5185185185185186,4
0.44,0.3235294117647059,0.3728813559322034,4
0.48484848484848486,0.4444444444444444,0.463768115942029,4
0.3333333333333333,0.3333333333333333,0.3333333333333333,4
0.375,0.23684210526315788,0.2903225806451613,4
0.375,0.2571428571428571,0.30508474576271183,4
0.3181818181818182,0.25,0.28,4
0.32142857142857145,0.2903225806451613,0.3050847457627119,4
0.2631578947368421,0.15151515151515152,0.19230769230769232,4
0.42424242424242425,0.3888888888888889,0.40579710144927533,4
0.25,0.1875,0.21428571428571427,4
0.47619047619047616,0.29411764705882354,0.3636363636363637,4
0.34782608695652173,0.26666666666666666,0.30188679245283023,4
0.3333333333333333,0.27586206896551724,0.3018867924528302,4
0.5806451612903226,0.43902439024390244,0.5,4
0.4074074074074074,0.3333333333333333,0.36666666666666664,4
0.4666666666666667,0.4117647058823529,0.43749999999999994,4
0.4642857142857143,0.3333333333333333,0.3880597014925373,4
0.46153846153846156,0.3333333333333333,0.3870967741935484,4
0.39285714285714285,0.3142857142857143,0.34920634920634924,4
